Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife
0 days 01:33:33.645000,77,0 days 00:01:19.330000,31,"","",0 days 00:00:17.878000,0 days 00:00:36.722000,0 days 00:00:24.730000,299.0,202.0,274.0,156.0,soft,18.0
0 days 01:34:45.286000,77,0 days 00:01:11.641000,32,"","",0 days 00:00:17.304000,0 days 00:00:30.534000,0 days 00:00:23.803000,291.0,229.0,275.0,296.0,soft,19.0
0 days 01:35:53.898000,77,0 days 00:01:08.612000,33,"","",0 days 00:00:17.213000,0 days 00:00:30.573000,0 days 00:00:20.826000,293.0,234.0,274.0,297.0,soft,20.0
0 days 01:37:03.548000,77,0 days 00:01:09.650000,34,"","",0 days 00:00:17.419000,0 days 00:00:30.949000,0 days 00:00:21.282000,292.0,235.0,270.0,299.0,soft,21.0
0 days 01:38:18.987000,77,0 days 00:01:15.439000,35,"",0 days 01:39:06.165000,0 days 00:00:17.723000,0 days 00:00:32.449000,0 days 00:00:25.267000,294.0,224.0,"",295.0,soft,22.0
0 days 01:40:03.599000,77,0 days 00:01:44.612000,36,0 days 01:39:41.880000,"",0 days 00:00:50.187000,0 days 00:00:32.192000,0 days 00:00:22.233000,281.0,192.0,260.0,295.0,soft,23.0
0 days 01:41:48.211000,77,0 days 00:01:44.612000,37,"",0 days 01:41:48.211000,0 days 00:00:22.413000,"",0 days 00:00:22.233000,214.0,"",260.0,246.0,soft,24.0
0 days 00:13:00.365000,99,"",1,0 days 00:11:33.458000,0 days 00:12:56.901000,"",0 days 00:00:37.350000,0 days 00:00:30.494000,275.0,208.0,"",200.0,hard,1.0
0 days 00:38:09.054000,99,"",2,0 days 00:36:51.273000,"","",0 days 00:00:34.274000,0 days 00:00:25.297000,276.0,215.0,272.0,294.0,intermediate,1.0
0 days 00:39:31.202000,99,0 days 00:01:22.148000,3,"",0 days 00:39:27.866000,0 days 00:00:18.300000,0 days 00:00:34.396000,0 days 00:00:29.452000,265.0,215.0,"",282.0,intermediate,2.0
0 days 00:56:57.476000,99,"",4,0 days 00:55:41.611000,"","",0 days 00:00:33.499000,0 days 00:00:23.920000,285.0,222.0,278.0,300.0,hard,2.0
0 days 00:58:05.874000,99,0 days 00:01:08.398000,5,"","",0 days 00:00:17.058000,0 days 00:00:30.312000,0 days 00:00:21.028000,313.0,241.0,280.0,313.0,hard,3.0
0 days 00:59:13.223000,99,0 days 00:01:07.349000,6,"","",0 days 00:00:16.951000,0 days 00:00:29.826000,0 days 00:00:20.572000,311.0,241.0,282.0,311.0,hard,4.0
0 days 01:00:21.031000,99,0 days 00:01:07.808000,7,"","",0 days 00:00:16.794000,0 days 00:00:30.290000,0 days 00:00:20.724000,313.0,240.0,281.0,314.0,hard,5.0
0 days 01:01:50.255000,99,0 days 00:01:29.224000,8,"","",0 days 00:00:20.931000,0 days 00:00:42.831000,0 days 00:00:25.462000,191.0,189.0,279.0,200.0,hard,6.0
0 days 01:03:08.523000,99,0 days 00:01:18.268000,9,"","",0 days 00:00:21.208000,0 days 00:00:34.418000,0 days 00:00:22.642000,210.0,222.0,258.0,291.0,hard,7.0
0 days 01:04:19.054000,99,0 days 00:01:10.531000,10,"","",0 days 00:00:18.339000,0 days 00:00:30.778000,0 days 00:00:21.414000,298.0,234.0,278.0,306.0,hard,8.0
0 days 01:05:27.176000,99,0 days 00:01:08.122000,11,"","",0 days 00:00:17.082000,0 days 00:00:30.055000,0 days 00:00:20.985000,306.0,234.0,279.0,309.0,hard,9.0
0 days 01:07:00.447000,99,0 days 00:01:33.271000,12,"",0 days 01:06:57.043000,0 days 00:00:19.477000,0 days 00:00:39.962000,0 days 00:00:33.832000,238.0,158.0,"",198.0,hard,10.0
0 days 01:28:24.353000,99,"",13,0 days 01:27:08.247000,"","",0 days 00:00:33.725000,0 days 00:00:24.615000,293.0,217.0,279.0,299.0,medium,1.0
0 days 01:29:31.195000,99,0 days 00:01:06.842000,14,"","",0 days 00:00:16.892000,0 days 00:00:29.413000,0 days 00:00:20.537000,310.0,246.0,279.0,313.0,medium,2.0
0 days 01:30:59.774000,99,0 days 00:01:28.579000,15,"","",0 days 00:00:21.462000,0 days 00:00:40.384000,0 days 00:00:26.733000,246.0,201.0,280.0,255.0,medium,3.0
0 days 01:32:06.134000,99,0 days 00:01:06.360000,16,"","",0 days 00:00:16.706000,0 days 00:00:29.349000,0 days 00:00:20.305000,315.0,245.0,283.0,315.0,medium,4.0
0 days 01:33:34.823000,99,0 days 00:01:28.689000,17,"","",0 days 00:00:20.543000,0 days 00:00:43.165000,0 days 00:00:24.981000,242.0,207.0,281.0,252.0,medium,5.0
0 days 01:34:41.298000,99,0 days 00:01:06.475000,18,"","",0 days 00:00:16.723000,0 days 00:00:29.424000,0 days 00:00:20.328000,316.0,242.0,284.0,316.0,medium,6.0
0 days 01:36:08.985000,99,0 days 00:01:27.687000,19,"","",0 days 00:00:22.428000,0 days 00:00:41.525000,0 days 00:00:23.734000,168.0,205.0,282.0,212.0,medium,7.0
0 days 01:37:16.031000,99,0 days 00:01:07.046000,20,"","",0 days 00:00:16.637000,0 days 00:00:29.824000,0 days 00:00:20.585000,316.0,241.0,282.0,315.0,medium,8.0
0 days 01:38:43.699000,99,0 days 00:01:27.668000,21,"","",0 days 00:00:22.057000,0 days 00:00:41.800000,0 days 00:00:23.811000,242.0,205.0,282.0,182.0,medium,9.0
0 days 01:39:50.453000,99,0 days 00:01:06.754000,22,"","",0 days 00:00:16.738000,0 days 00:00:29.470000,0 days 00:00:20.546000,312.0,231.0,283.0,315.0,medium,10.0
0 days 01:39:59.588000,99,0 days 00:01:48.623000,23,"","",0 days 00:00:18.741000,0 days 00:00:38.369000,0 days 00:00:51.513000,284.0,111.0,63.0,218.0,medium,11.0
0 days 01:41:48.211000,99,0 days 00:01:48.623000,24,"",0 days 01:41:48.211000,"","",0 days 00:00:51.513000,"","",63.0,"",medium,12.0
